x	lc_ft
-0.7899999999999987	-0.033584347130977195
-0.7799999999999987	-0.03402245874674585
-0.7699999999999987	-0.034558975793629806
-0.7599999999999987	-0.035203427093588445
-0.7499999999999987	-0.03595593896287124
-0.7399999999999987	-0.036806909707157644
-0.7299999999999986	-0.037739479661932016
-0.7199999999999986	-0.03873408501396677
-0.7099999999999986	-0.03977371605594237
-0.6999999999999986	-0.04084824717464866
-0.6899999999999986	-0.04195645617853637
-0.6799999999999986	-0.043105039242813094
-0.6699999999999986	-0.04430485120781656
-0.6599999999999986	-0.0455654771708433
-0.6499999999999986	-0.046889795530199625
-0.6399999999999986	-0.04827024316350552
-0.6299999999999986	-0.049688010619331424
-0.6199999999999986	-0.051115514874304276
-0.6099999999999985	-0.05252148287990803
-0.5999999999999985	-0.05387714358395393
-0.5899999999999985	-0.05516163545500087
-0.5799999999999985	-0.0563649259884466
-0.5699999999999985	-0.05748726765669294
-0.5599999999999985	-0.058535270575896095
-0.5499999999999985	-0.05951573640331985
-0.5399999999999985	-0.06042913860567881
-0.5299999999999985	-0.061264809466601344
-0.5199999999999985	-0.061999430602000104
-0.5099999999999985	-0.06259944454443948
-0.49999999999999845	-0.06302679816397774
-0.48999999999999844	-0.06324636310389825
-0.47999999999999843	-0.063232791689229
-0.4699999999999984	-0.06297465942497424
-0.4599999999999984	-0.06247451345284609
-0.4499999999999984	-0.06174467593087798
-0.4399999999999984	-0.060799976360505006
-0.4299999999999984	-0.05964959782976379
-0.4199999999999984	-0.058290591120302486
-0.40999999999999837	-0.056705196364320455
-0.39999999999999836	-0.054863010868817584
-0.38999999999999835	-0.05272756763723596
-0.37999999999999834	-0.05026548486306272
-0.36999999999999833	-0.04745545248515562
-0.3599999999999983	-0.0442942391638736
-0.3499999999999983	-0.04079769517304499
-0.3399999999999983	-0.03699618910453351
-0.3299999999999983	-0.03292562742636204
-0.3199999999999983	-0.028616647336050363
-0.3099999999999983	-0.0240852845966417
-0.29999999999999827	-0.01932814103835257
-0.28999999999999826	-0.014323844330628638
-0.27999999999999825	-0.009040734051938178
-0.26999999999999824	-0.003448761224211644
-0.25999999999999823	0.0024678524755630954
-0.24999999999999822	0.008701112630680151
-0.23999999999999821	0.01521610900003123
-0.2299999999999982	0.02195568751626155
-0.2199999999999982	0.02885208517455347
-0.2099999999999982	0.03584247080179259
-0.19999999999999818	0.04288390760549709
-0.18999999999999817	0.0499630852317642
-0.17999999999999816	0.05709739368318214
-0.16999999999999815	0.06432625630065965
-0.15999999999999814	0.07169448308784587
-0.14999999999999813	0.07923194300401246
-0.13999999999999813	0.08693531958325605
-0.12999999999999812	0.09475760990069158
-0.11999999999999811	0.10260927970163153
-0.1099999999999981	0.11037199450270516
-0.09999999999999809	0.11792238655904437
-0.08999999999999808	0.12516035225232064
-0.07999999999999807	0.13203479338698546
-0.06999999999999806	0.13856010866203045
-0.059999999999998055	0.14481929784246983
-0.049999999999998046	0.1509542541401733
-0.03999999999999804	0.1571515998319522
-0.029999999999998028	0.1636506078172226
-0.01999999999999802	0.1708811464224257
-0.00999999999999801	0.1805840145909371
1.7763568394002505e-15	0.25300551061735876
0.010000000000002007	0.49633731175376694
0.020000000000002238	0.5864739863263415
0.030000000000002025	0.6501291237036207
0.04000000000000181	0.7009559465563804
0.05000000000000204	0.7437229258490441
0.060000000000002274	0.7807576626877835
0.07000000000000206	0.8134492076617938
0.08000000000000185	0.8427477639656503
0.09000000000000208	0.869355471083834
0.10000000000000231	0.8938009095008446
0.1100000000000021	0.9164689649850997
0.12000000000000188	0.9376182161528782
0.1300000000000021	0.9574006928383563
0.14000000000000234	0.9758889090737886
0.15000000000000213	0.993108654312088
0.16000000000000192	1.0090723166533706
0.17000000000000215	1.0238063745138803
0.18000000000000238	1.037367849782013
0.19000000000000217	1.049847314241346
0.20000000000000195	1.0613595189831098
0.21000000000000218	1.0720258182286564
0.22000000000000242	1.0819544049797218
0.2300000000000022	1.0912244880670041
0.240000000000002	1.0998789543486398
0.2500000000000022	1.1079272938161975
0.26000000000000245	1.1153574532876167
0.27000000000000224	1.1221527271672207
0.280000000000002	1.1283084989409884
0.29000000000000226	1.133843932002882
0.3000000000000025	1.138805421858561
