lambda	lc_Re	lc_Im
-617.0985569551325	5.903813018780379e-05	4.7011173569626134e-05
-616.414412213497	-8.965410467557235e-05	-3.087930717447936e-05
-615.7302674718616	-0.0002546001573593366	2.7390947165035226e-06
-615.0461227302261	-0.0003615828850827759	0.00013318827729045222
-614.3619779885906	-0.0003622918416441267	0.0003021012989721217
-613.6778332469552	-0.0002561755471399566	0.0004336010711605413
-612.9936885053197	-9.083188520261977e-05	0.00046844921406350527
-612.3095437636842	5.930306766070245e-05	0.0003907966828408455
-611.6253990220488	0.0001264266039175434	0.0002354567275490619
-610.9412542804133	7.99507002489189e-05	7.236403692310197e-05
-610.2571095387779	-5.959963780026774e-05	-2.4843075814311242e-05
-609.5729647971424	-0.00022968526306245917	-1.2003626242993484e-05
-608.8888200555069	-0.0003538164647323535	0.00010557259600499571
-608.2046753138715	-0.0003759885934837738	0.0002753503305878527
-607.520530572236	-0.0002859873140925546	0.0004211074080565056
-606.8363858306005	-0.00012413003900799637	0.0004772205957930452
-606.1522410889651	3.675529649294762e-05	0.00041827693689996373
-605.4680963473296	0.00012405955829720736	0.00027064948588378197
-604.7839516056941	9.812156556647888e-05	0.00010076554775629242
-604.0998068640587	-2.9795364123158215e-05	-1.4714719614020426e-05
-603.4156621224232	-0.0002024267419798944	-2.3422039333517367e-05
-602.7315173807877	-0.0003421800232041849	7.904311010351818e-05
-602.0473726391523	-0.0003860481410455438	0.00024698236851765316
-601.3632278975168	-0.0003140542648493491	0.000405046515846374
-600.6790831558814	-0.00015838682354714343	0.00048210954633395745
-599.9949384142459	1.0951306430599249e-05	0.0004433418324315296
-599.3107936726104	0.00011758209615794229	0.0003060199968446885
-598.626648930975	0.00011316081610458561	0.00013189781685952134
-597.9425041893395	-7.469231066875072e-07	-4.942961372064714e-07
-597.258359447704	-0.00017321877167703493	-3.1196321834652045e-05
-596.5742147060686	-0.00032677870613105403	5.4097246386692916e-05
-595.8900699644331	-0.00039223891985018836	0.00021744961049719903
-595.2059252227976	-0.00033991223903297424	0.0003856222797694201
-594.5217804811622	-0.00019311486353465866	0.0004829799993322179
-593.8376357395267	-1.7818796954207676e-05	0.00046557683940363405
-593.1534909978913	0.00010695492014219755	0.00034106259472887633
-592.4693462562558	0.00012471585638026286	0.00016539306025478617
-591.7852015146203	2.7037311811318348e-05	1.775578482129611e-05
-591.1010567729849	-0.0001424972216666007	-3.505330420794093e-05
-590.4169120313494	-0.0003077796312440463	3.1222629629531855e-05
-589.7327672897139	-0.0003943837322212434	0.00018723588352108258
-589.0486225480785	-0.00036311930460916164	0.00036309753845756754
-588.364477806443	-0.00022780677591563182	0.00047975568489910575
-587.6803330648075	-4.921160174078014e-05	0.00048460112923989686
-586.9961883231721	9.220134397718873e-05	0.00037526398298420784
-586.3120435815366	0.00013247774303793843	0.00020083790606691886
-585.6278988399011	5.305387199366302e-05	3.991008698683312e-05
-584.9437540982657	-0.00011073416026812828	-3.477183198043757e-05
-584.2596093566302	-0.0002854110284592821	1.0889443796823249e-05
-583.5754646149948	-0.0003923639231791238	0.00015685017354988745
-582.8913198733593	-0.0003832630996458451	0.00033779170946840795
-582.2071751317238	-0.00026194237302360184	0.00047242293713921205
-581.5230303900884	-8.283420322304599e-05	0.0005000743138582017
-580.8388856484529	7.34085980560193e-05	0.00040811087575524853
-580.1547409068174	0.00013618703257458608	0.00023777849373541026
-579.470596165182	7.681195405338171e-05	6.578039801461829e-05
-578.7864514235465	-7.843168175981693e-05	-3.0187487689240433e-05
-578.102306681911	-0.0002599604478486245	-6.457141050570173e-06
-577.4181619402756	-0.0003861227922046884	0.00012681961571297027
-576.7340171986401	-0.00039996792353981823	0.0003100775123930302
-576.0498724570047	-0.00029499624336841294	0.0004610326431216419
-575.3657277153692	-0.00011824885445051603	0.0005117027580457899
-574.6815829737337	5.0728215379927346e-05	0.00043909783864108307
-573.9974382320983	0.0001356390417488462	0.00027572631015218335
-573.3132934904628	9.784119128363538e-05	9.51169233208366e-05
-572.6291487488273	-4.611512778900072e-05	-2.1196588232761158e-05
-571.9450040071919	-0.00023177203925066396	-2.040436367788817e-05
-571.2608592655564	-0.0003756681725670196	9.768203459315189e-05
-570.5767145239209	-0.00041290146803416895	0.00028037681573125537
-569.8925697822855	-0.00032644560845261237	0.00044570128413098383
-569.20842504065	-0.00015497840613646846	0.0005192453626951614
-568.5242802990145	2.4375469843363444e-05	0.0004677352190511563
-567.8401355573791	0.0001306884294959179	0.00031416469547914077
-567.1559908157436	0.0001156993227540522	0.00012761042894321228
-566.4718460741082	-1.4325787372877383e-05	-7.759381513275295e-06
-565.7877013324727	-0.0002012429207239399	-3.0578976001512456e-05
-565.1035565908372	-0.00036107412037066815	6.997813265213055e-05
-564.4194118492018	-0.00042178108109516507	0.0002491556469196726
-563.7352671075663	-0.00035577834779014397	0.00042661103200033584
-563.0511223659308	-0.00019251247592112303	0.0005225187217583688
-562.3669776242954	-5.372148167102247e-06	0.0004935570528246996
-561.6828328826599	0.00012125301688066181	0.00035255594028794137
-560.9986881410244	0.0001299796456972768	0.00016289532554147193
-560.314543399389	1.638683080412969e-05	1.0097623953619141e-05
-559.6303986577535	-0.00016881866651545087	-3.665394604435011e-05
-558.946253916118	-0.00034248166697006767	4.424343210542782e-05
-558.2621091744826	-0.0004263794610370945	0.00021691841779648081
-557.5779644328471	-0.0003825010794830824	0.0004040088760633354
-556.8938196912117	-0.000230314275179683	0.0005214015625973703
-556.2096749495762	-3.8177420426353966e-05	0.0005161288315935737
-555.5255302079407	0.00010731677067070627	0.0003903488854429464
-554.8413854663053	0.00014031813734801646	0.0002005536719924435
-554.1572407246698	4.547305185578746e-05	3.228025185952294e-05
-553.4730959830343	-0.00013498795852448663	-3.835465200530548e-05
-552.7889512413989	-0.0003200986007796128	2.1000081459071526e-05
-552.1048064997634	-0.00042652968414501097	0.00018420143020450987
-551.420661758128	-0.0004061471803941023	0.00037820476960004384
-550.7365170164925	-0.00026782801054810954	0.0005158383876456094
