mom	a	z	Re	Re_err	Im	Im_err
8	0.1213	0.3	0.19764409091339408	0.001537134638569887	-0.6736233727762804	0.0011201796543615083
8	0.1213	0.36	0.011045618906638181	0.0015208089085421515	-0.5808527436765771	0.0012506902939830589
8	0.1213	0.42	-0.1121235407317251	0.0014829662843186403	-0.44714195929684875	0.0013843178799509137
8	0.1213	0.48	-0.17167152382926787	0.0013898440624877106	-0.30327661415726614	0.0014363923985832863
8	0.1213	0.54	-0.177385038513686	0.0013339209864113855	-0.17720764223322283	0.0014278929236832827
8	0.1213	0.6000000000000001	-0.1474962713575147	0.0012332802144766344	-0.08168787812377118	0.0013271154747912517
8	0.1213	0.6599999999999999	-0.1018894880338572	0.0012277119300150852	-0.022428767031485216	0.0011662863179318986
8	0.1213	0.72	-0.05511712092233957	0.0011451552473843718	0.005480080888748915	0.0010554685751145553
8	0.1213	0.78	-0.018555790333468027	0.0010857584857294454	0.010830043855159236	0.00102801182525937
8	0.1213	0.8400000000000001	0.004483623230250099	0.0009993954953617535	0.0031731780163331454	0.001028449861098282
8	0.1213	0.8999999999999999	0.014149796677063124	0.0008946275246528389	-0.008074955782816511	0.0009347312968776834
8	0.1213	0.96	0.013874497185034643	0.0009415344499512715	-0.01776037618833068	0.0008648478746153959
8	0.1213	1.02	0.00840462787819227	0.0008999467078959106	-0.022663941475269372	0.0007707313917319596
8	0.1213	1.08	0.00125438043406192	0.0008993100483286618	-0.022677653571751805	0.0007506922943300957
8	0.1213	1.1400000000000001	-0.004553375297060413	0.000889265805025797	-0.019058363317438647	0.0007143139375907077
8	0.1213	1.2	-0.007966970337922251	0.0008741151318683954	-0.013612349796633871	0.0006912817043890022
8	0.1213	1.26	-0.008791765564049705	0.0008957814057546834	-0.008073558944706058	0.0006927216601831194
8	0.1213	1.32	-0.007690954946668082	0.000861744074566591	-0.0035398735256562575	0.0007166719488223348
8	0.1213	1.38	-0.0055630839388775555	0.0008143287860438564	-0.0004925204028779563	0.0006725841432238872
8	0.1213	1.44	-0.0031719615437995436	0.0007274662296446213	0.000981258227379838	0.0006792326033622064
8	0.1213	1.5	-0.0011428384642974397	0.0006857997335322694	0.0013329677560055533	0.0006752521141282519
10	0.0574	0.06	0.9195056379091973	0.00026454370401751687	-0.3143973110088301	0.0006060365223063968
10	0.0574	0.12	0.6970898468969577	0.0008153526996151906	-0.5413941290640862	0.0009348000989531923
10	0.0574	0.18	0.404803061588335	0.0013008053686827115	-0.6206068687719922	0.000900427189807762
10	0.0574	0.24	0.14052880082475633	0.0015230093249758991	-0.5619657755805485	0.0008470437692809085
10	0.0574	0.3	-0.037231148868655445	0.0015003366697864187	-0.4229089361102042	0.0010755867960844379
10	0.0574	0.36	-0.11879685097641188	0.0014026553635344968	-0.26637808541878283	0.0011057883294912085
10	0.0574	0.42	-0.12685876026133958	0.0010992836673257844	-0.13663484945627313	0.00115897149820407
10	0.0574	0.48	-0.09545256689524645	0.0009424933355818009	-0.052259538335582834	0.001075435215222749
10	0.0574	0.54	-0.05429100437354148	0.0009072517819487952	-0.010955073646870872	0.0008956347278003245
10	0.0574	0.6000000000000001	-0.0216330215971603	0.0008130233042787163	0.0005800822959905183	0.0008472336296088665
10	0.0574	0.6599999999999999	-0.003593123309872882	0.0006888913498485197	-0.00233110145917089	0.0007461780536009397
10	0.0574	0.72	0.0019675942546445585	0.000649887083469183	-0.008172468108456038	0.0006389274270880932
10	0.0574	0.78	0.0005920805284103451	0.000607620207873474	-0.011125972345911896	0.0005747210979617796
10	0.0574	0.8400000000000001	-0.0025816968357554	0.0005599747404430046	-0.010300097777652138	0.0005069639511664625
10	0.0574	0.8999999999999999	-0.0045970275828928955	0.0004674560416320483	-0.007224471180819834	0.000538439371735774
